COUNTY,YEAR,PRODUCTION (Kgs),RAINFALL (mm),ALTITUTDE (M),TEMPERATURE (Degree Celsius)
MBURI,2003,"129,979",1300,1495,13 - 25
RIANJUE,2003,"122,043",1200,1345,13 - 25
KIAMUTUIRA,2003,"26,531",1200,1560,13 - 25
GIKONGORO,2003,"381,713",1300,1444,13 - 25
GIKUI,2003,"264,620",1400,1628,13 - 24
KUIRI,2003,"281,612",1300,1432,13 - 26
RWARENE,2003,"264,077",1300,1421,13 - 26
KAGURU,2003,"147,055",1550,1500,14 - 24
KARIA,2003,"352,820",1200,1380,13 - 26
KATHANGENE,2003,"331,716",1300,1343,13 - 26
GITHUNE,2003,"55,827",1300,1457,13 - 25
KIERU,2003,"180,986",1300,1325,13 - 26
NTEMWENE,2003,"100,872",1300,1483,13 - 26
TAAI,2003,"40,920",1400,1564,13 - 25
KATHARE,2003,"110,859",1300,1343,13 - 26
MUTONGA,2003,"87,728",1400,1523,13 - 25
GACHIEGE,2003,"303,750",1300,1500,13 - 25
KIJIJONE,2003,"33,396",1400,1633,13 - 25
KINJO,2003,"326,073",1400,1661,13 - 25
RIJE,2003,"160,589",1400,1697,13 - 25
GITUGU,2003,"209,116",1300,1255,13 - 25
ITHIMA,2003,"277,903",1400,1255,13 - 25
KIAMIRIRU,2003,"113,517",1300,1580,13 - 25
NGONYI,2003,"444,662",1400,1837,13 - 25
NTHUNGU,2003,"29,107",1300,1708,13 - 26
KARINDINE,2003,"429,116",1300,1793,13 - 26
MAGANJO,2003,"443,111",1300,1440,13 - 25
MAURA,2003,"207,298",1400,1543,13 - 24
RWANKWARE,2003,"289,115",1300,1744,13 - 25
GATHIMA,2003,"194,739",1300,1565,13 - 25
GATUBU,2003,"229,057",1300,1590,13 - 25
GITURA,2003,"224,870",1300,1390,13 - 26
IYEGO MAIN,2003,"355,695",1300,1527,13 - 26
KABIRUINI,2003,"102,753",1300,1472,13 - 26
KIRANGANO,2003,"59,579",1300,1390,13 - 26
MARIMIRA,2003,"192,721",1000,1750,13 - 26
MUNUNGA,2003,"281,869",1300,1600,13 - 24
THANGATHI,2003,"88,858",1000,1750,13 - 24
WATUHA,2003,"131,568",1100,1700,13 - 24
GACIRAGO,2003,"438,199",1000,1750,13 - 24
GEITWA,2003,"92,537",1000,1750,13 - 24
ICHANJERU,2003,"77,000",1100,1730,13 - 24
MURIOWANDA,2003,"34,376",1000,1750,13 - 24
WATHENGE,2003,"218,602",1100,1700,13 - 24
GITARO,2003,"18,614",1000,1750,13 - 24
KAHURO,2003,"375,000",1200,1530,13 - 24
KIANJOGU,2003,"113,906",1200,1570,13 - 24
KIBOI,2003,"146,917",1200,1480,13 - 24
MBARI YA HITI,2003,"80,759",1200,1450,13 - 24
MITARAKWA,2003,"70,008",1200,1470,13 - 24
MURICHU,2003,"220,476",1100,1700,13 - 24
RWARO,2003,"60,923",1100,1650,13 - 24
